title,country,variety,points,price
Hacienda del Carche NV Brut Sparkling (Cava),Spain,Sparkling Blend,82,10.0
Secret Cellars 2014 Pinot Noir (Santa Lucia Highlands),US,Pinot Noir,86,14.0
Château Maison Noble 2014 Rosé (Bordeaux Rosé),France,Rosé,84,9.0
Hogue 2014 Red (Columbia Valley (WA)),US,Red Blend,88,8.0
Cantina Terlano 2014 Pinot Bianco (Alto Adige),Italy,Pinot Bianco,86,22.0
Montaribaldi 2012 Capural  (Roero),Italy,Arneis,89,16.0
Seghesio 1998 San Lorenzo Zinfandel (Sonoma County),US,Zinfandel,91,28.0
Otuwhero 2008 O:TU Sauvignon Blanc (Marlborough),New Zealand,Sauvignon Blanc,86,16.0
Soluna 2010 Premium Malbec (Mendoza),Argentina,Malbec,89,18.0
Yazgan 2014 Casaba Cabernet Sauvignon-Merlot (Turkey),Turkey,Cabernet Sauvignon-Merlot,87,16.0
Taba 2015 G  (Greco di Tufo),Italy,Greco,85,19.0
Château Feret Lambert 2011  Bordeaux Supérieur,France,Bordeaux-style Red Blend,90,35.0
Illuminati Dino 2007 Lumen Riserva Red (Controguerra),Italy,Red Blend,92,70.0
Bernard Magrez 2013 Château des Muraires Rosé (Côtes de Provence),France,Rosé,89,26.0
Soléna 2015 Prince Hill Vineyard Pinot Noir (Dundee Hills),US,Pinot Noir,90,48.0
Thörle 2016 Feinherb Riesling (Rheinhessen),Germany,Riesling,91,22.0
René Muré 2012 Clos Saint Landelin Pinot Noir (Alsace),France,Pinot Noir,90,75.0
Walnut City WineWorks 2014 Gewürztraminer (Willamette Valley),US,Gewürztraminer,90,18.0
Hilltown 2009 Pinot Noir (California),US,Pinot Noir,81,9.0
Vignerons de Bel Air 2012 Grande QV  (Bourgogne Gamay),France,Gamay,85,16.0
MacRostie 2006 Pinot Noir (Carneros),US,Pinot Noir,87,30.0
Dobbes Family Estate 2013 Eola-Amity Cuvée Pinot Noir (Eola-Amity Hills),US,Pinot Noir,88,40.0
Fullerton 2013 Five Faces Pinot Noir (Willamette Valley),US,Pinot Noir,87,33.0
Collemassari 2009 Riserva  (Montecucco),Italy,Red Blend,90,25.0
Aspaldi 2010 Crianza  (Rioja),Spain,Tempranillo Blend,89,15.0
FEL 2014 Donnelly Creek Pinot Noir (Anderson Valley),US,Pinot Noir,92,65.0
Txomín Etxaníz 2011 Getaria Rosé (Getariako Txakolina),Spain,Rosé,83,25.0
Castiglion del Bosco 2004 Campo del Drago  (Brunello di Montalcino),Italy,Sangiovese Grosso,92,75.0
Michele Taliano 2008 Ad Altiora  (Barbaresco),Italy,Nebbiolo,91,60.0
Mastroberardino 2009 Naturalis Historia  (Taurasi),Italy,Aglianico,93,90.0
Château Margaux 2013  Margaux,France,Bordeaux-style Red Blend,95,395.0
Château du Port 2013 Tertre-Perdigous Malbec-Merlot (Cahors),France,Malbec-Merlot,87,16.0
Wilderotter 2014 Barbera (Shenandoah Valley (CA)),US,Barbera,87,30.0
Edna Valley Vineyard 2013 Paragon Chardonnay (Central Coast),US,Chardonnay,83,15.0
Headbanger 2009 Zinfandel (Sonoma County),US,Zinfandel,84,20.0
Derby 2013 Implico Red (Paso Robles),US,Bordeaux-style Red Blend,87,34.0
Hagafen 2000 Chardonnay (Napa Valley),US,Chardonnay,86,18.0
Benmarl 2014 Stainless Steal Chardonnay (Finger Lakes),US,Chardonnay,85,15.0
Sant Wines 2014 Buena Aventura Pinot Noir (Sta. Rita Hills),US,Pinot Noir,92,47.0
Marengo NV Brut Sparkling (Ukraine),Ukraine,Sparkling Blend,83,10.0
Bruno Giacosa 2007 Extra Brut Metodo Classico Pinot Nero (Vino Spumante),Italy,Pinot Nero,89,50.0
Monte Novo e Figueirinha 2007 Herdade da Figueirinha Reserva Red (Alentejano),Portugal,Portuguese Red,81,9.0
Vignobles Berthier 2012 Domaine de Montbenoit Pinot Noir (Coteaux du Giennois),France,Pinot Noir,87,16.0
Arbor Crest 2006 Sauvignon Blanc (Columbia Valley (WA)),US,Sauvignon Blanc,88,11.0
Joseph Mellot 2014 Le Rabault  (Sancerre),France,Pinot Noir,85,30.0
Viu Manent 2009 Reserva Malbec (Colchagua Valley),Chile,Malbec,88,14.0
Sonoma Trail 2006 Pinot Noir (Sonoma Coast),US,Pinot Noir,86,15.0
Bota Box 2015 Moscato (California),US,Moscato,84,23.0
Henriet-Bazin NV Sélection de Parcelles Premier Cru Brut  (Champagne),France,Champagne Blend,92,60.0
Picket Fence 2010 Chardonnay (Russian River Valley),US,Chardonnay,85,15.0
Il Grappolo 2010  Brunello di Montalcino,Italy,Sangiovese,93,50.0
Rancho Sisquoc 2011 Flood Family Vineyards Syrah (Santa Barbara County),US,Syrah,85,25.0
Château Villa Bel Air 2007  Graves,France,Bordeaux-style White Blend,91,25.0
Mirassou 1997 Coastal Selection Merlot (Monterey County),US,Merlot,81,13.0
Standing Stone 2005 Reserve Chardonnay (Finger Lakes),US,Chardonnay,82,20.0
Pepper Bridge 2009 Seven Hills Vineyard Red (Walla Walla Valley (WA)),US,Bordeaux-style Red Blend,93,60.0
Concha y Toro 2008 Casillero del Diablo Reserve Merlot (Rapel Valley),Chile,Merlot,86,10.0
Apolloni 2007 Pinot Grigio (Willamette Valley),US,Pinot Grigio,89,17.0
Trivento 2016 White Orchid Reserve Torrontés (Mendoza),Argentina,Torrontés,87,11.0
Season 2014 Limited Edition Series Carmenère (Southern Oregon),US,Carmenère,88,38.0
Brian Carter Cellars 2012 Oriana White (Yakima Valley),US,White Blend,91,22.0
Paul Jaboulet Aîné 2007 Les Jumelles  (Côte Rôtie),France,Syrah,89,110.0
Husch 2007 Late Harvest Gewürztraminer (Anderson Valley),US,Gewürztraminer,82,20.0
Boeckel 2014 Riesling (Alsace),France,Riesling,87,42.0
Ledson 1999 Merlot (Sonoma Valley),US,Merlot,91,36.0
Canard-Duchêne NV Charles VII Grande Cuvée des Lys Blanc de Noirs Brut  (Champagne),France,Champagne Blend,89,50.0
Coastview 2007 North Block Syrah (Monterey County),US,Syrah,90,29.0
Abbadia Ardenga 2008 Vigna Piaggia  (Brunello di Montalcino),Italy,Sangiovese Grosso,91,60.0
Martin Ray 2012 Pinot Noir (Santa Barbara County),US,Pinot Noir,86,20.0
Carmel 2007 Private Collection Kosher Merlot (Galilee),Israel,Merlot,86,18.0
Martin Ray 2010 Pinot Noir (Russian River Valley),US,Pinot Noir,84,40.0
Omaka Springs 2001 Sauvignon Blanc (Marlborough),New Zealand,Sauvignon Blanc,89,17.0
Chime 2009 Pinot Noir (Sonoma County),US,Pinot Noir,91,19.0
Mercer 2015 Culloden Vineyard Viognier (Horse Heaven Hills),US,Viognier,86,18.0
Santa Ema 2006 Barrel Select Reserve Carmenère (Cachapoal Valley),Chile,Carmenère,86,12.0
Wines & Winemakers 2015 Casa Ermelinda Freitas Monte de Baía Rosé (Península de Setúbal),Portugal,Rosé,85,12.0
Lombard et Cie NV Tanagra Brut Grand Cru  (Champagne),France,Champagne Blend,92,60.0
Ruby Hill Winery 2012 Reserve Petite Sirah (Livermore Valley),US,Petite Sirah,93,29.0
Hahn 2015 Pinot Gris (Monterey County),US,Pinot Gris,87,15.0
Sheldrake Point 2010 Cabernet Franc (Finger Lakes),US,Cabernet Franc,85,18.0
Cafaggio 2010 Basilica del Pruneto Merlot (Toscana),Italy,Merlot,91,40.0
Educated Guess 2014 Cabernet Sauvignon (Napa Valley),US,Cabernet Sauvignon,85,25.0
Locati Cellars 2006 Sangiovese (Columbia Valley (WA)),US,Sangiovese,85,26.0
Domaine de Terra Vecchia 2015 Niellucciu-Syrah Cuvée Armonia Rosé (Ile de Beauté),France,Rosé,86,15.0
La Vis 2001 Bianco dei Sorni White (Trentino),Italy,White Blend,88,15.0
Chasseur 2012 Pinot Noir (Russian River Valley),US,Pinot Noir,90,40.0
R. de Ayala Lete E Hijos 2004 Deóbriga Selección Familiar  (Rioja),Spain,Tempranillo Blend,91,22.0
Dutton-Goldfield 1999 Freestone Hill Vineyard Pinot Noir (Russian River Valley),US,Pinot Noir,92,55.0
Finca Valpiedra 2009 Cantos de Valpiedra  (Rioja),Spain,Tempranillo,88,20.0
Waterbrook 2012 Icon Reserve Cabernet Sauvignon (Columbia Valley (WA)),US,Cabernet Sauvignon,87,35.0
Caccia al Piano 1868 2008 Levia Gravia  (Bolgheri Superiore),Italy,Red Blend,92,56.0
Bodega NQN 2011 Picada 15 Malbec (Patagonia),Argentina,Malbec,86,13.0
Mignanelli 2013 Pinot Noir (Santa Cruz Mountains),US,Pinot Noir,87,36.0
Errazuriz 2015 Pinot Noir (Aconcagua Valley),Chile,Pinot Noir,91,25.0
Veramar 2012 Estate Club Cabernet Franc (Shenandoah Valley),US,Cabernet Franc,83,18.0
Altamira 2010 de los Andes Reserve Malbec (Uco Valley),Argentina,Malbec,86,25.0
Le Strie 2011  Sforzato di Valtellina,Italy,Nebbiolo,89,54.0
Valentin Bianchi 2009 Malbec (Mendoza),Argentina,Malbec,89,13.0
Pheasant Valley Winery 2006 Cabernet Sauvignon (Columbia Valley (OR)),US,Cabernet Sauvignon,87,22.0
Brancott 2007 Sauvignon Blanc (Marlborough),New Zealand,Sauvignon Blanc,86,13.0
Vin du Lac 2011 Cuvée Rouge Red (Columbia Valley (WA)),US,Red Blend,84,25.0
Jardin 2011 Barrel Fermented Chenin Blanc (Stellenbosch),South Africa,Chenin Blanc,88,16.0
Rutz 2005 Bacigalupi Vineyard Chardonnay (Russian River Valley),US,Chardonnay,85,55.0
Biondi Santi 2006 Riserva  (Brunello di Montalcino),Italy,Sangiovese Grosso,94,900.0
Jacob's Creek 1999 Reserve Chardonnay (Barossa Valley),Australia,Chardonnay,88,16.0
Midnight 2012 Estate Chardonnay (Paso Robles),US,Chardonnay,85,26.0
Coyote Canyon 1999 Garys' Vineyard Pinot Noir (Santa Lucia Highlands),US,Pinot Noir,88,55.0
Terre Rouge 2008 Muscat a Petits Grains Vin Doux Naturel Muscat (Shenandoah Valley (CA)),US,Muscat,93,15.0
Piccini 2008 Sasso al Poggio Red (Toscana),Italy,Red Blend,91,25.0
Wine Spots 2006 Cabernet Sauvignon (Napa Valley),US,Cabernet Sauvignon,86,25.0
Hermann J. Wiemer 2009 Magdalena Vineyard Dry Riesling (Finger Lakes),US,Riesling,90,36.0
Château Lauduc 2015 Classic  (Bordeaux),France,Bordeaux-style Red Blend,85,15.0
Friedrich-Wilhelm-Gymnasium 2015 Fritz Willi Riesling (Mosel),Germany,Riesling,90,18.0
Baglio di Pianetto 2004 Ramione Red (Sicilia),Italy,Red Blend,87,26.0
Williams Selyem 2015 Heintz Vineyard Chardonnay (Russian River Valley),US,Chardonnay,94,65.0
Dr. Konstantin Frank 2012 Méthode Champenoise Brut  (Finger Lakes),US,Champagne Blend,91,25.0
Loring Wine Company 2007 Aubaine Vineyard Pinot Noir (San Luis Obispo County),US,Pinot Noir,83,50.0
Flam 2012 Classico Red (Judean Hills),Israel,Bordeaux-style Red Blend,90,35.0
Bodegas Caro 2008 Amancaya Malbec-Cabernet Sauvignon (Mendoza),Argentina,Malbec-Cabernet Sauvignon,89,20.0
Georges Vigouroux 2012 Pigmentum Rosé (Vin de Pays du Lot),France,Rosé,84,12.0
Casa Larga 2010 Fiori Delle Stelle Estate Grown Ice Wine Vidal Blanc (Finger Lakes),US,Vidal Blanc,88,40.0
Sottano 2009 Reserva de Familia Cabernet Sauvignon (Mendoza),Argentina,Cabernet Sauvignon,89,30.0
Mezzacorona 2015 Pinot Grigio (Trentino),Italy,Pinot Grigio,87,10.0
Silver Horse 2011 The Big Easy Red (Paso Robles),US,Red Blend,89,38.0
Familia Traversa 2015 Noble Alianza Reserva Marselan-Tannat-Merlot Red (Uruguay),Uruguay,Red Blend,85,13.0
Tamarack Cellars 2006 Chardonnay (Columbia Valley (WA)),US,Chardonnay,89,18.0
Sorrentino 2010 Nati Coda di Volpe (Pompeiano),Italy,Coda di Volpe,84,28.0
Domaine de la Denante 2014  Saint-Véran,France,Chardonnay,85,20.0
Zepaltas 2014 Risuena Pinot Noir (Sonoma Coast),US,Pinot Noir,85,24.0
Poggio Nardone 2001 Riserva  (Brunello di Montalcino),Italy,Sangiovese,95,60.0
Fielding Hills 2010 RiverBend Vineyard Cabernet Franc (Wahluke Slope),US,Cabernet Franc,91,30.0
Rex Hill 2006 Sims Vineyard Pinot Noir (Willamette Valley),US,Pinot Noir,90,52.0
Domaine Saint-André de Figuière 2013 Cuvée Signature Magali Rosé (Côtes de Provence),France,Rosé,88,23.0
Hawthorne 2014 Barrel Reserve Auxerrois (Old Mission Peninsula),US,Auxerrois,86,20.0
The Vineyard House 2010 Cabernet Sauvignon (Napa Valley),US,Cabernet Sauvignon,94,200.0
Three Rivers 2013 Rosé Cabernet Franc (Walla Walla Valley (WA)),US,Cabernet Franc,86,14.0
Johannishof 2014 Charta Riesling (Rheingau),Germany,Riesling,90,22.0
Ebner-Ebenauer 2013 Birthal Grüner Veltliner (Weinviertel),Austria,Grüner Veltliner,90,19.0
Château Lauduc 2015 Tradition  (Bordeaux Supérieur),France,Bordeaux-style Red Blend,88,18.0
Niedrist 2011 Pinot Nero (Alto Adige),Italy,Pinot Nero,87,43.0
Kobler 2015 Rosé of Pinot Noir (Russian River Valley),US,Pinot Noir,91,28.0
Quanta Terra 2014 Terra a Terra Reserva Branco White (Douro),Portugal,Portuguese White,88,16.0
Ogier 2013 Héritages Elevé en Foudres de Chêne Red (Côtes du Rhône),France,Rhône-style Red Blend,89,16.0
Red Tail Ridge 2012 Obscure Red Varietal Series Martini Family Vineyard Blaufränkisch (Finger Lakes),US,Blaufränkisch,89,23.0
Falua 2011 Reserva Alicante Bouschet (Tejo),Portugal,Alicante Bouschet,92,25.0
Domaine Poli 2016 Sciaccarellu Rosé (Ile de Beauté),France,Rosé,86,16.0
Airfield Estates 2009 Cabernet Sauvignon (Yakima Valley),US,Cabernet Sauvignon,89,25.0
Freeman 2007 Akiko's Cuvée Pinot Noir (Sonoma Coast),US,Pinot Noir,89,54.0
Groth 2013 Hillview Vineyard Chardonnay (Napa Valley),US,Chardonnay,91,30.0
Vallemon de Sardilici 2009 Roble  (Ribera del Duero),Spain,Tempranillo,85,22.0
